VALID,VALID2,LAT,LON,MAG,WFO,TYPECODE,TYPETEXT,CITY,COUNTY,STATE,SOURCE,REMARK,CATEGORY,UGC,UGCNAME
2.02207E+11,7/28/22 1:26,37.68,-83.46,None,JKL,F,FLASH FLOOD,1 NNE HOLLONVILLE,WOLFE,KY,PUBLIC,FLASH FLOOD WATERS REPORTED UP TO THE PORCHES ON TERRILL FORK AND HOLLY ROADS.,1,KYC237,Wolfe
2.02207E+11,7/28/22 2:12,37.63,-83.38,None,JKL,F,FLASH FLOOD,1 ENE SEWELL,BREATHITT,KY,PUBLIC,PICTURES ON SOCIAL MEDIA SHOW FLASH FLOOD WATERS SURROUNDING VEHICLES AT MORGUE FORK.,2,KYC025,Breathitt
2.02207E+11,7/28/22 2:15,37.64,-83.78,None,JKL,F,FLASH FLOOD,1 SE WHYNOT,LEE,KY,LAW ENFORCEMENT,STATE TROOPER REPORTED RUNNING WATER AND DEBRIS ACROSS KY-52 AT THE INTERSECTION OF KY 2453.,2,KYC129,Lee
2.02207E+11,7/28/22 2:20,37.64,-83.38,None,JKL,F,FLASH FLOOD,1 NE SEWELL,BREATHITT,KY,TRAINED SPOTTER,REPORT OF FLOOD WATER OVER MORGUE FORK ROAD.,1,KYC025,Breathitt
2.02207E+11,7/28/22 2:55,37.73,-83.33,None,JKL,F,FLASH FLOOD,1 S LEE CITY,WOLFE,KY,PUBLIC,FLASH FLOOD WATERS REPORTED OVER KY-205 IN THE VICINITY OF THE INTERSECTION OF TRENT FORK AND GREENBRIER BRANCH RD.,2,KYC237,Wolfe
2.02207E+11,7/28/22 2:55,37.74,-83.34,None,JKL,F,FLASH FLOOD,LEE CITY,WOLFE,KY,PUBLIC,FLASH FLOOD WATERS REPORTED IN THE CHURCHYARD AT THE LEE CITY FIRST CHURCH OF GOD.,1,KYC237,Wolfe
2.02207E+11,7/28/22 2:58,37.61,-83.36,None,JKL,F,FLASH FLOOD,KECK,BREATHITT,KY,PUBLIC,VIDEO ON SOCIAL MEDIA SHOWED FLASH FLOOD WATERS AROUND A HOME AT THE INTERSECTION OF STRONG FORK RD AND KY-1812.,2,KYC025,Breathitt
2.02207E+11,7/28/22 3:00,37.68,-83.47,None,JKL,F,FLASH FLOOD,1 N HOLLONVILLE,WOLFE,KY,PUBLIC,REPORT OF MAIN BRIDGE ALONG KY-1261 FLOODED ALONG WITH MULTIPLE PLACES WITH FLOOD DEBRIS IN ROAD.,2,KYC237,Wolfe
2.02207E+11,7/28/22 3:00,37.36,-83.63,None,JKL,F,FLASH FLOOD,1 W SEBASTIAN,OWSLEY,KY,PUBLIC,PICTURES ON SOCIAL SHOW SIGNIFICANT FLASH FLOOD DAMAGE ALONG BUFFALO CREEK INCLUDING A HOME WASHED OFF ITS FOUNDATION AND DESTROYED. ONSET TIME OF FLASH FLOODING ESTIMATED.,3,KYC189,Owsley
2.02207E+11,7/28/22 3:00,37.52,-83.47,None,JKL,F,FLASH FLOOD,2 NE GUERRANT,BREATHITT,KY,TRAINED SPOTTER,SEVERAL REPORTS OF WATER AND DEBRIS OVER ROAD AT BOTH PUNCHEON CREEK ROAD AND BELCHER FORK ROAD.,2,KYC025,Breathitt
2.02207E+11,7/28/22 3:00,37.69,-82.94,None,JKL,F,FLASH FLOOD,2 NE GYPSY,FLOYD,KY,FIRE DEPT/RESCUE,FIRE DEPARTMENT REPORTS COLE BRANCH ROAD CLOSED DUE TO FLASH FLOODING.,1,KYC071,Floyd
2.02207E+11,7/28/22 3:01,37.51,-83.48,None,JKL,F,FLASH FLOOD,1 ENE GUERRANT,BREATHITT,KY,PUBLIC,FLASH FLOOD WATERS REPORTED OVER PUNCHEON CREEK RD.,1,KYC025,Breathitt
2.02207E+11,7/28/22 3:01,37.53,-83.42,None,JKL,F,FLASH FLOOD,2 S ELKATAWA,BREATHITT,KY,PUBLIC,FLASH FLOOD WATERS REPORTED OVER BELCHER FORK RD. NEAR THE INTERSECTION WITH KY-30.,1,KYC025,Breathitt
2.02207E+11,7/28/22 3:15,37.66,-83.41,None,JKL,F,FLASH FLOOD,1 S PAXTON,BREATHITT,KY,PUBLIC,PUBLIC AND SOCIAL MEDIA REPORTED FLASH FLOODING IN THE VANCLEVE AND KY-205 AREA FROM KY-1812 TO POLECAT BRANCH AREAS.,1,KYC025,Breathitt
2.02207E+11,7/28/22 3:20,37.59,-83.26,None,JKL,F,FLASH FLOOD,STEVENSON,BREATHITT,KY,PUBLIC,FLASH FLOOD WATERS REPORTED INSIDE TWO RESIDENCES ALONG MEAT SCAFFOLD RD.,2,KYC025,Breathitt
2.02207E+11,7/28/22 3:30,37.69,-83.97,None,JKL,F,FLASH FLOOD,IRVINE,ESTILL,KY,PUBLIC,STREET FLOODING REPORTED ON BROADWAY IN IRVINE AND RAVENNA. TIME ESTIMATED.,1,KYC065,Estill
2.02207E+11,7/28/22 3:48,37.38,-83.45,None,JKL,F,FLASH FLOOD,1 NW BEECH,BREATHITT,KY,PUBLIC,BRIDGE WASHED OUT ALONG BOWLING CREEK ROAD NEAR ALTRO.,3,KYC025,Breathitt
2.02207E+11,7/28/22 3:50,37.36,-83.37,None,JKL,F,FLASH FLOOD,1 SSW BARWICK,BREATHITT,KY,PUBLIC,FLASH FLOODING REPORTED NEAR BARWICK.,1,KYC025,Breathitt
2.02207E+11,7/28/22 3:56,37.38,-83.45,None,JKL,F,FLASH FLOOD,1 NW BEECH,BREATHITT,KY,TRAINED SPOTTER,WATER FLOWING OVER THE ROAD AND IMPACTING A BRIDGE ON BOWLINGS CREEK RD.,2,KYC025,Breathitt
